scenario,target_norad,sigma_deg,trial,catalog_size,observation_count,best_norad,best_chi2,best_fit_p_value,best_catalog_match,target_rank,correct_decision
unknown_hard,17070,0.16,5,250,10,62256,534.013,8.74645e-89,0,-1,1
known_hard,17070,0.17,1,250,10,17070,65.9861,0.00325042,1,1,1
unknown_random,17070,0.17,1,249,10,34955,34118.7,0,0,-1,1
unknown_hard,17070,0.17,1,250,10,62256,390.477,4.72637e-60,0,-1,1
known_hard,17070,0.17,2,250,10,17070,21.6916,0.984442,1,1,1
unknown_random,17070,0.17,2,249,10,34955,33010.2,0,0,-1,1
unknown_hard,17070,0.17,2,250,10,62256,499.691,7.54486e-82,0,-1,1
known_hard,17070,0.17,3,250,10,17070,70.91,0.000947969,0,1,0
unknown_random,17070,0.17,3,249,10,34955,33834.3,0,0,-1,1
unknown_hard,17070,0.17,3,250,10,62256,421.678,3.14067e-66,0,-1,1
known_hard,17070,0.17,4,250,10,17070,46.7999,0.154867,1,1,1
unknown_random,17070,0.17,4,249,10,34955,33853.3,0,0,-1,1
unknown_hard,17070,0.17,4,250,10,62256,553.873,8.19705e-93,0,-1,1
known_hard,17070,0.17,5,250,10,17070,22.1407,0.98127,1,1,1
unknown_random,17070,0.17,5,249,10,34955,33347,0,0,-1,1
unknown_hard,17070,0.17,5,250,10,62256,374.177,7.63265e-57,0,-1,1
known_hard,17070,0.18,1,250,10,17070,42.6016,0.279695,1,1,1
unknown_random,17070,0.18,1,249,10,34955,30087,0,0,-1,1
unknown_hard,17070,0.18,1,250,10,62256,392.617,1.78833e-60,0,-1,1
known_hard,17070,0.18,2,250,10,17070,28.8333,0.858178,1,1,1
unknown_random,17070,0.18,2,249,10,34955,30223.7,0,0,-1,1
unknown_hard,17070,0.18,2,250,10,62256,446.453,3.64229e-71,0,-1,1
known_hard,17070,0.18,3,250,10,17070,30.4925,0.801663,1,1,1
unknown_random,17070,0.18,3,249,10,34955,30014.1,0,0,-1,1
unknown_hard,17070,0.18,3,250,10,62256,460.98,4.52881e-74,0,-1,1
known_hard,17070,0.18,4,250,10,17070,39.5183,0.401984,1,1,1
unknown_random,17070,0.18,4,249,10,34955,29355.5,0,0,-1,1
unknown_hard,17070,0.18,4,250,10,62256,434.797,7.70287e-69,0,-1,1
known_hard,17070,0.18,5,250,10,17070,23.3304,0.970442,1,1,1
unknown_random,17070,0.18,5,249,10,34955,29483.3,0,0,-1,1
unknown_hard,17070,0.18,5,250,10,62256,487.48,2.17063e-79,0,-1,1
known_hard,17070,0.19,1,250,10,17070,46.4213,0.164064,1,1,1
unknown_random,17070,0.19,1,249,10,34955,26893.5,0,0,-1,1
unknown_hard,17070,0.19,1,250,10,62256,329.126,4.66343e-48,0,-1,1
known_hard,17070,0.19,2,250,10,17070,54.6605,0.0391244,1,1,1
unknown_random,17070,0.19,2,249,10,34955,26709.2,0,0,-1,1
unknown_hard,17070,0.19,2,250,10,62256,375.537,4.12618e-57,0,-1,1
known_hard,17070,0.19,3,250,10,17070,34.791,0.618633,1,1,1
unknown_random,17070,0.19,3,249,10,34955,27052.6,0,0,-1,1
unknown_hard,17070,0.19,3,250,10,62256,332.359,1.10311e-48,0,-1,1
known_hard,17070,0.19,4,250,10,17070,30.3445,0.807102,1,1,1
unknown_random,17070,0.19,4,249,10,34955,26704.4,0,0,-1,1
unknown_hard,17070,0.19,4,250,10,62256,438.373,1.49235e-69,0,-1,1
known_hard,17070,0.19,5,250,10,17070,32.1761,0.734999,1,1,1
unknown_random,17070,0.19,5,249,10,34955,26641.4,0,0,-1,1
unknown_hard,17070,0.19,5,250,10,62256,377.142,1.99633e-57,0,-1,1
known_hard,17070,0.2,1,250,10,17070,27.9942,0.882803,1,1,1
unknown_random,17070,0.2,1,249,10,34955,24375.8,0,0,-1,1
unknown_hard,17070,0.2,1,250,10,62256,399.577,7.54467e-62,0,-1,1
known_hard,17070,0.2,2,250,10,17070,23.7875,0.965227,1,1,1
unknown_random,17070,0.2,2,249,10,34955,24575.6,0,0,-1,1
unknown_hard,17070,0.2,2,250,10,62256,347.289,1.38631e-51,0,-1,1
known_hard,17070,0.2,3,250,10,17070,30.6127,0.797192,1,1,1
unknown_random,17070,0.2,3,249,10,34955,24133.9,0,0,-1,1
unknown_hard,17070,0.2,3,250,10,62256,312.373,7.9624e-45,0,-1,1
known_hard,17070,0.2,4,250,10,17070,21.8198,0.983583,1,1,1
unknown_random,17070,0.2,4,249,10,34955,24436.8,0,0,-1,1
unknown_hard,17070,0.2,4,250,10,62256,365.049,4.70891e-55,0,-1,1
known_hard,17070,0.2,5,250,10,17070,31.317,0.770062,1,1,1
unknown_random,17070,0.2,5,249,10,34955,24582.3,0,0,-1,1
unknown_hard,17070,0.2,5,250,10,62256,334.407,4.42179e-49,0,-1,1
known_hard,17070,0.21,1,250,10,17070,40.1641,0.374525,1,1,1
unknown_random,17070,0.21,1,249,10,34955,22026.3,0,0,-1,1
unknown_hard,17070,0.21,1,250,10,62256,358.192,1.03402e-53,0,-1,1
known_hard,17070,0.21,2,250,10,17070,43.9892,0.232841,1,1,1
unknown_random,17070,0.21,2,249,10,34955,21555,0,0,-1,1
unknown_hard,17070,0.21,2,250,10,62256,350.185,3.78104e-52,0,-1,1
known_hard,17070,0.21,3,250,10,17070,24.2013,0.959947,1,1,1
unknown_random,17070,0.21,3,249,10,34955,22170.6,0,0,-1,1
unknown_hard,17070,0.21,3,250,10,62256,314.778,2.74364e-45,0,-1,1
known_hard,17070,0.21,4,250,10,17070,47.2255,0.144998,1,1,1
unknown_random,17070,0.21,4,249,10,34955,22146.4,0,0,-1,1
unknown_hard,17070,0.21,4,250,10,62256,340.516,2.88168e-50,0,-1,1
known_hard,17070,0.21,5,250,10,17070,38.9166,0.428292,1,1,1
unknown_random,17070,0.21,5,249,10,34955,22450,0,0,-1,1
unknown_hard,17070,0.21,5,250,10,62256,321.27,1.53886e-46,0,-1,1
known_hard,17070,0.22,1,250,10,17070,33.8654,0.661068,1,1,1
unknown_random,17070,0.22,1,249,10,34955,19727.3,0,0,-1,1
unknown_hard,17070,0.22,1,250,10,62256,306.752,9.56623e-44,0,-1,1
known_hard,17070,0.22,2,250,10,17070,47.0108,0.149915,1,1,1
unknown_random,17070,0.22,2,249,10,34955,20273.1,0,0,-1,1
unknown_hard,17070,0.22,2,250,10,62256,266.811,3.73082e-36,0,-1,1
known_hard,17070,0.22,3,250,10,17070,24.8824,0.950024,1,1,1
unknown_random,17070,0.22,3,249,10,34955,19964.1,0,0,-1,1
unknown_hard,17070,0.22,3,250,10,62256,262.512,2.39603e-35,0,-1,1
known_hard,17070,0.22,4,250,10,17070,41.6697,0.314163,1,1,1
unknown_random,17070,0.22,4,249,10,34955,19820.8,0,0,-1,1
unknown_hard,17070,0.22,4,250,10,62256,266.152,4.96473e-36,0,-1,1
known_hard,17070,0.22,5,250,10,17070,16.2406,0.999227,1,1,1
unknown_random,17070,0.22,5,249,10,34955,19766.3,0,0,-1,1
unknown_hard,17070,0.22,5,250,10,62256,290.715,1.11326e-40,0,-1,1
known_hard,17070,0.23,1,250,10,17070,22.8955,0.974839,1,1,1
unknown_random,17070,0.23,1,249,10,34955,18674.8,0,0,-1,1
unknown_hard,17070,0.23,1,250,10,62256,296.641,8.24654e-42,0,-1,1
known_hard,17070,0.23,2,250,10,17070,17.4767,0.998238,1,1,1
unknown_random,17070,0.23,2,249,10,34955,18065.9,0,0,-1,1
unknown_hard,17070,0.23,2,250,10,62256,293.881,2.77411e-41,0,-1,1
