orbit_type,target_norad,target_name,mean_motion_rev_day,inclination_deg,eccentricity,catalog_size,sigma_deg,trial,observation_count,target_rank,target_chi2,best_chi2,best_fit_p_value,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,runtime_us,runtime_ms
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.05,3,10,1,34.7065,34.7065,0.622541,465.482,68791,1,1,1,1343,1.343
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.05,4,10,1,37.3236,37.3236,0.500548,449.607,68791,1,1,1,2335,2.335
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.05,5,10,1,44.9849,44.9849,0.20263,496.215,68791,1,1,1,1422,1.422
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.1,1,10,1,35.9958,35.9958,0.562444,124.243,68791,1,1,1,1402,1.402
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.1,2,10,1,32.348,32.348,0.727752,106.268,68791,1,1,1,1413,1.413
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.1,3,10,1,46.4222,46.4222,0.164043,110.55,68791,1,1,1,1315,1.315
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.1,4,10,1,39.3227,39.3227,0.410467,168.889,68791,1,1,1,1297,1.297
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.1,5,10,1,50.6585,50.6585,0.0821175,136.563,68791,1,1,1,1347,1.347
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.25,1,10,1,37.6959,37.6959,0.483392,26.6142,68791,1,1,1,1316,1.316
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.25,2,10,1,31.8072,31.8072,0.750303,31.2349,68791,1,1,1,1342,1.342
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.25,3,10,2,46.5026,45.1326,0.198391,1.37001,85434,0,1,1,1334,1.334
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.25,4,10,1,32.3439,32.3439,0.727928,2.01241,68791,1,1,1,2419,2.419
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.25,5,10,1,35.1381,35.1381,0.60251,34.4186,68791,1,1,1,1460,1.46
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.5,1,10,1,58.0592,58.0592,0.0196229,6.19874,68791,1,1,1,1505,1.505
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.5,2,10,1,26.6693,26.6693,0.916016,4.14188,68791,1,1,1,1565,1.565
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.5,3,10,1,45.352,45.352,0.192214,3.83888,68791,1,1,1,1500,1.5
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.5,4,10,1,79.6969,79.6969,8.75113e-05,7.8432,68791,1,1,1,1527,1.527
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,0.5,5,10,2,35.7495,31.9485,0.744482,3.801,85434,0,1,1,1524,1.524
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,1,1,10,2,53.3994,49.892,0.0937576,3.50731,85434,0,1,1,1742,1.742
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,1,2,10,1,43.8289,43.8289,0.237974,1.73849,68791,1,1,1,1749,1.749
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,1,3,10,2,55.7278,52.1528,0.0628529,3.57498,85434,0,1,1,2016,2.016
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,1,4,10,1,37.3024,37.3024,0.501527,2.90489,68791,1,1,1,1568,1.568
MEO,68791,"GPS BIII-10 (PRN 13)    ",2.0057,54.9663,0.0004511,500,1,5,10,1,56.4098,56.4098,0.0276098,2.31514,68791,1,1,1,2071,2.071
